source,target,value
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,17P9e5T8thgFNbxuZxe55ZCoA6ojSjRC4U,88078000
12JzsmEuLW73H2BkYxvT1hGXmuq28oCMix,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,498969
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,490370000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,20000000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1MbzxoJAjnSc7WUPdsiE9VrQYVCyp4rgZZ,510800000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,12JzsmEuLW73H2BkYxvT1hGXmuq28oCMix,58969
12zBnfxqXE24LcAm4kH66bYtSQLSfqtsAh,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,937885645
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,20000000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,12zBnfxqXE24LcAm4kH66bYtSQLSfqtsAh,917875645
12zBnfxqXE24LcAm4kH66bYtSQLSfqtsAh,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1428265645
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,490370000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,12zBnfxqXE24LcAm4kH66bYtSQLSfqtsAh,937885645source,target,value
16zSpkt8KrpeAootkSR22vPAm2dtWP6Lav,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1960000
1FWzb8Qdd8aUjBdMVqLiwPhTtsPba8eGph,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1970000
1JdcGEavVt79iZ3xMiHW8nnzngqA5phN9H,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,386719000
1BsFoY3PeBfjnzEGyY186FW7veaZwjy3fm,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,16980000
1BKJ9kQw9Q8VtJ2UtsFMrLbuRsSXbTXH3o,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1990000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1000000
16iD9JLv3h19wStfAZF9mESgSEhNaFBrxF,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1890000
17ZXviqgTHFa9pW8fCE8tMQogq9h8HvGy7,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,8990000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,10000000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1980000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1000000
1Ae6iyuuvmSJBvkEwEUkJDUHWLd9UwVKdE,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,8297583
17ZXviqgTHFa9pW8fCE8tMQogq9h8HvGy7,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1960000
16iD9JLv3h19wStfAZF9mESgSEhNaFBrxF,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1000000
1Hd1mTqyJeZHaW4fgxrRKDLuKiwZMcJz5k,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1000000
1BKJ9kQw9Q8VtJ2UtsFMrLbuRsSXbTXH3o,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1970000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1JygMEn42dRJCYQ4s9sjk3Mi5AFvTvpNbA,156009091
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1Adb94GTLUMEVCc1czbG5S7dFyqpLRe8iU,144240909
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1LKMY5rNdk6jGTvyW1DJrsE9CD6oghjQ73,152406583
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1P18JptJSKo7TL4uuG8kKRZibrMKbXWQr2,10000
1NApy7zHJpJu8oddHhyM6wcsresGf39MSK,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,11509130
1LDr3XYwwKgWim8dqTFQXLpHEfW8BqmTEV,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,11552200
1DWzSUeubtQfcj4EpBoKaySpvaev2PevgT,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1283430
1MALTBaGu4wrCthcc8zxK5ag5GZL1hJttA,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,8907847
1JM6CFQoL8sYiyGoSxk3NbKoB7Aw7F6beh,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,11502400
1KwEcsaFdNuAdJD3Y9yaChqSYt97PgTqFo,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1280330
15D5qxA6MhHGnwne1zQ6rstcBRPr2QUgvq,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1293180
12wfq43e85XMrPxmWzytYRMaMwpuCYLkB5,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,11478820
15MgYswERMg2jzFkEi7PWCKszrAf6VQPgw,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,11350000
18FokC99bso1vCj2W3jYQP9LRShD39AhhQ,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,11464000
1ACwknm25uTyBbdQGPTguVqCdbg5EFdACS,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,11406180
1C7nVHchXKdeMMAZ3ZrqRoHQW6MHyGUNzt,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1289251
1M9wkBu86KUiWJMi5LKKCwH1xZe4MRoy15,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,8500000
1Apb4e454Raqs1Au7oH1YB1aQ2VacrwsvQ,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,11346304
14doiGxmLux3YnDNmhxMD8Skoyom7XcR8n,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1279581
1AQvp9mmBvgAm1UN8Tm3HvUf2RX5R9dyDX,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,11476000
19LJbyChyAXmzmvTVJwMArBvCgMFQdRAcJ,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,11370000
14Kg97kqZnJLWJm4XTL4u5HX7nQRhK2fya,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1000000
1EcnwMSL2MfLwki7GVh6ZTFKZus9B17WbZ,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1185605
1C6uvzGCxfngVcCV36pDWbtNoiZ5vNMV2C,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1299490
1PJqNxCju7HhvnyLYnkhTmVWvutrZv6JqL,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1227670
1NmXW8T3HZbt5gJxNCHMxwxgJDAdoUa45V,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1283078
12AiPs9hDYiaqDZsU2HWsMkBYrNQa7Cyjs,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,3586700
1EowWJ9CsJyBnGtAhWS6UsFvWPezzvjL6t,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1142153
1Ga8virEBgrR4r8AuCevjHu3kN1zwz22cu,1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1294816
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,1NaWzKfVj4nDTSFUzSX53gFN3x1k928ZTW,9900000
1NfRMkhm5vjizzqkp2Qb28N7geRQCa4XqC,14L1FdEtipj6g3nvkAtK9fKo5txWkwJNDc,10000000
